name,domain,location,tagline,investors
spacedrip,,Estonia,Wastewater treatment robots,['various']
spaltial,https://spatial.ai/,United Kingdom,Spatial foundation model developer,['earlybird venture capital']
spotmyenergy,,Germany,Smart energy solutions,['norrsken vc']
spread,,Germany,Engineering intelligence network,['hv capital']
squake,,Germany,Travel carbon emissions calculation and compensation,['various']
stability ai,https://stability.ai/,UK,Text-to-image Stable Diffusion system,"[' lightspeed', 'coatue']"
stabl,,Germany,Commercial energy storage with used EV batteries,"[' nap', 'eic']"
steady energy,https://steadyenergy.com/,Finland,Low-temperature nuclear reactors,"['92 ventures', 'vtt', 'lifeline ventures', ' yes vc']"
steerlab,,France,Automating RFPs and security questionnaires,['dreamcraft vc']
stepwise,https://stepwise.no/,Norway,Emissions management,['various']
stormharvester,https://stormharvester.com/,United Kingdom,AI analytics for wastewater utilities,['yfm equity partners']
subsets,https://subsets.com/,Denmark,Automating retention for subscription media,"['upfin', ' yc']"
sunhat,,Germany,Supplier ESG assessment,"['capnamic', ' xdeck', 'capnamic ventures', ' xdeck ventures']"
sunhero,,Spain,Solar installation for residential consumers,"[' vorwerk ventures', 'planet a']"
sunly,,Estonia,Renewable energy producer,['various']
sunology,,France,Manufacturer of solar panels,['rgreen invest']
sunroof,https://www.sunroof.se/,Sweden,2-in-1 solar roofs,['klima']
sunsave,,United Kingdom,Solar subscription service,['norrsken vc']
sunswap,,United Kingdom,Zero-emission transport refrigeration technology,"['various', 'norrsken vc']"
sunvigo,,Germany,Provider of residential solar systems,"[' sparta capital', 'eneco ventures']"
supercritical,,UK,Carbon removal marketplace,['lightspeed']
surrealdb,https://surrealdb.com/,UK,NewSQL cloud database,['firstmark']
sustaincert,,Luxembourg,Climate impact verification solution,['various']
swish,,France,EV charging station,['green invest']
sykell,,Germany,Zero waste packaging for food industry,['various']
sylvera,,UK,Carbon credit ratings and insights platform,['balderton']
synergi,,Finland,Virtual power plants,['greencore ventures']
tado,https://www.tado.com/,Germany,Smart thermostats and platform,"['various', 'trill impact']"
taisaneut,,United Kingdom,Quasi-solid-state sodium batteries,['eit innoenergy']
tanso,,Germany,Carbon accounting for industrial companies,['capnamic']
tap electric,,Netherlands,Connecting EV drivers to chargers,['various']
team-gpt,,Bulgaria,AI-driven collaborative workspace,['true ventures']
teamsystem,,Italy,ERP software,"['adia', ' capitalg']"
telescope,,Norway,Climate risk management for real estate,"['scale capital', ' dreamcraft ventures']"
temenergy,,UK,Matching businesses with clean generators,"['energy impact partners', 'albionvc']"
terra one,,Germany,Decentralised battery storage,['ptt']
terralayr,,Switzerland,Renewable battery storage systems,['various']
tesseract,,"Climate Tech, UK",New energy company,"['balderton', ' lakestar']"
the mobility house,https://mobilityhouse.com/,Germany,Smart charging for electric cars,['various']
theion,,Germany,Sulfur battery technology,['various']
threedium,,United Kingdom,3D/AR high fidelity assets for e-commerce,['ipg']
tibo energy,,Netherlands,Smart energy management,"['set ventures', 'positron ventures']"
tilt,https://tilt.com/,France,Virtual power plant platform,['daphni']
tines,https://tines.com/,Ireland,AI-powered workflow automation solution,['gs growth']
tings,,Norway,Circular marketplace,['various']
tozero,,Germany,Battery recycling,['nordicninja']
trace for good,,France,Supply chain traceability for consumer goods,"['hiinov dentressangle', ' anka ventures']"
transmutex,,Switzerland,Transforming nuclear waste into clean energy,"['usy', ' steel atlas']"
trawa,https://trawa.com/,Germany,Renewable energy supplier,"['headline', 'balderton capital']"
treefera,https://www.treefera.com/,United Kingdom,Forest data and carbon credit analysis,['albionvc']
treely,,Austria,Carbon offsetting,['portfolion capital partners']
tset,,Austria,Cost and carbon management,['various']
tumax,,Germany,Converting renewable energy into RNG,['lea partners']
twirl,,Sweden,Fully managed data platform,['creandum']
ucaneo,https://ucaneo.com/,Germany,Direct air capture technology,['smart energy innovationsfonds']
undo,https://undo.com/,UK,Rock weathering specialist / CO2 removal,['lowercarbon capital']
unikbase,,France,Digital twin,['weber investissements']
unosecur,,Germany,Identity threat detection and response,"['venturefriends', ' dff ventures']"
unseenlabs,,France,Maritime surveillance,['various']
up2vou,,Italy,Carbon reduction & offsetting,['azimut']
upvest,,Germany,Investment infrastructure provider,['hedosophia']
urbanvolt,,Ireland,Solar energy provider,['verdane']
util,https://util.com/,UK,Sustainability data platform,['eldridge']
valyuu,,Netherlands,Circular economy marketplace for e-waste,"['rubio', ' slingshot ventures']"
vamo,,Germany,High-efficiency heat pumps,"['neosfer', ' get fund', 'extantia capital']"
vensum,https://vensum.com/,Finland,Power conversion technology,['lifeline ventures']
verkor,,France,Low-carbon battery gigafactory,['various']
versiro,,Norway,Decision support platform for electrical power assets,['alliance vc']
vespa,,United Kingdom,Big data serving engine,['blossom capital']
vested impact,,UK,Impact scoring platform,"['impact shakers', ' hearstlab']"
vestigas,,Germany,Digitising supply chain in construction,"['project a', ' b2venture']"
vialytics,https://www.vialytics.com/,Germany,AI-based road management system,['scania growth capital']
vind ai,https://vind.ai/,Norway,Wind park design platform,['norrsken vc']
viridico,,UK,Decarbonising chemical industry,['eqt ventures']
vizcab,,France,Decarbonisation for construction projects,['kompas vc']
volta trucks,https://www.voltatrucks.com/,UK,Electric trucks,['various']
volteras,,United Kingdom,Data streaming platform for energy ecosystem,['usv']
volteum,,Hungary,Electric fleet optimisation software,['day one capital']
voltfang,,Germany,Energy storage from second-life EV batteries,['pt1']
voltstorage,https://www.voltstorage.com/,Germany,Battery storage system,[]
volytica diagnostics,,Germany,Battery analytics,"['shift invest', ' enbw new ventures']"
vool,https://www.vool.com/,Estonia,EV charging solution,['specialist vc']
vortex-io,,France,Flood risk analysis,['various']
vottiris,,Switzerland,Solar modules for greenhouses,"[' 3m ventures', 'equitypitcher']"
wase,,United Kingdom,Electro-methanogenic reactor technology,['extantia capital']
watermein,,Netherlands,Hydrogen generator for on-demand green energy,['akef']
wattalps,,France,Lithium-ion battery system,['various']
watttron,,Germany,Digital temperature control systems,[]
wayve,,United Kingdom,Autonomous driving,['uber']
weaviate,https://weaviate.io/,Netherlands,Vector database,['index ventures']
weefin,https://www.weefin.com/,France,ESG data management platform,['blackfin']
weezie,,Portugal,Fiber optic network management,['ged ventures']
weflow,,Germany,Revenue platform / Notion for revenue teams,"['gradient ventures', ' 2162', ' firstminute', 'tiger global']"
winnow,,UK,AI driven food waste reduction solutions,['various']
wirelane,,Germany,EV charging infrastructure provider,['various']
withthegrid,,Netherlands,Grid monitoring and flexibility solutions,['various']
woltair,,Czech Republic,Digital platform for heat pumps and renewable energy,['various']
woodoo,,France,Repurposing dead wood into advanced materials,['lowercarbon capital']
wordsmith,,United Kingdom,Legal AI Agent,['index ventures']
worldfavor,,Sweden,Corporate Sustainability platform,"['spintop', ' brightly ventures']"
xilva,,Switzerland,Platform for investments in reforestation,['various']
zefi,,Italy,ML powered data analytics,['360 capital']
zendo,,UK,Energy OS for data centers,['fly ventures']
zenml,https://zenml.io/,Germany,Open source MLOps platform,['crane venture partners']
zeplug,,France,EV charging services,['icg']
zepp.solutions,,Netherlands,Fuel cell integrator,['rotterdam energy transition']
zero44,,Germany,CO2 management on merchant ships,['atlantic labs']
zevero,,United Kingdom,Carbon data platform,['spiral capital']
zive,,Germany,AI-powered knowledge management,['headline']
zunder,https://www.zunder.com/,Spain,EV charging operator,['mirova']
