id,name,domain,Location,LocationEmployees (Current),Employees: Growth YoY (%),Investment Stage,Last Funding Amount (USD),Investors,LinkedIn Profile (Founders/CEOs),In Energize Affinity,Employees (Current)
154901180,Carbon Upcycling Technologies Inc.,carbonupcycling.com,"Calgary, Canada",,-4.08,Series A,26000000.0,Clean Energy Venture Group,Apoorv Sinha (Chief Executive Officer): https://linkedin.com/in/apoorv-sinha-b82918a,True,47.0
263710401,Carbon13,carbonthirteen.com,"Cambridge, United Kingdom",,11.65,Seed,2200000.0,family offices,,True,278.0
282950858,carbonABLE,carbonable.io,"Paris, France",,-4.65,Seed,1200000.0,Ethereal Ventures,Ramzi Laieb (co-founder): https://linkedin.com/in/rmzlb,True,82.0
290113996,Carbonaide,carbonaide.com,"Joensuu, Finland",,,,,,,False,
286124122,Carbonaires,carbonaires.com,"London, United Kingdom",,5.56,,,,Martyn Porter (Co-Founder and Partner): https://linkedin.com/in/martyn-porter-42607311,True,19.0
cdf4235a-3843-401e-ba2c-c6892d1d6522,carbonblue,,"Tel Aviv, Israel",,,,,,,False,
280233603,CarbonBuilt,carbonbuilt.com,"Los Angeles, California",,-16.67,Series A,10000000.0,Grantham Environmental Trust’s Neglected Climate Opportunities,"Gaurav N. Sant (Founder, CTO, Director): https://linkedin.com/in/gaurav-n-sant-0497a58",True,20.0
263315448,CarbonCloud,carboncloud.com,"None, Sweden",,-13.51,Series A,7500000.0,Maki VC,Andreas Vrålstad (Co-Founder): https://linkedin.com/in/andvra,True,32.0
dd3234c7-3c14-4afb-9e14-686a26aab83d,carboncycle,,"Irving, TX",,,,,,,False,
611ad245-eaa9-47f1-a1dd-0622a9d8e2a4,carbonethics,,"Jakarta, Indonesia",,,,,,,False,
dd4366fc-634c-42cb-8e20-4e5b1fa0978d,carbonfact,https://carbonfact.org/,Paris,,,,,,,False,
267258418,carbonfuture,carbonfuture.earth,"Freiburg, Germany",,0.0,Series A,,SIX,Andreas Hölzl (Co-founder and COO at carbonfuture.earth): https://linkedin.com/in/andreas-h%C3%B6lzl-90a81a6a,True,52.0
283797430,carbonhound,carbonhound.com,"Toronto, Canada",,11.11,Seed,972901.0,VERDEXUS,Kyri Vanguard (CTO & Founder): https://linkedin.com/in/kyrivanguard,True,10.0
147496524,CarbonOrO,carbonoro.com,"Nijmegen, Netherlands",,,,,,,False,
6f4e527d-db3e-47ac-8ebc-dea429fc14da,carbonova,https://www.carbonova.com/,"Calgary, Canada",,,,,,,False,
288841093,Carbonplace,carbonplace.com,"London, United Kingdom",,-11.76,Seed,45000000.0,Ita Unibanco,Scott Eaton (Chief Executive Officer): https://linkedin.com/in/scott-eaton-4993b9a,True,30.0
64801513-965a-4dc5-9872-4adfa3eb7d62,carbonquest,https://carbonquest.com/,"Spokane, WA",,,,,,,False,
ab3af72c-a6e8-4327-b20b-719ceae88f54,carbonrun,,"Nova Scotia, U.S.",,,,,,,False,
163302028,CarbonScape,carbonscape.com,"Riverlands, New Zealand",,,,,,,False,
048752f1-3dfc-4476-a76d-00595d573b88,carbonstop,https://www.carbonstop.com/,China,,,,,,,False,
284900404,"Carbonwave - ultra-regenerative, plant-based, advanced biomaterials from seaweed.",carbonwave.com,"Carolina, Puerto Rico",,-2.7,Series A,5000000.0,Mirova1,Geoff Chapin (Chief Executive Officer): https://linkedin.com/in/geoff-chapin-98a186164,True,36.0
301421423,CarbonZero.ECO,carbonzero.eco,"Los Altos, CA",,,,,,,False,
268272451,Carbyon,carbyon.com,"Eindhoven, Netherlands",,,,,,,False,
a96869ae-eba7-4b76-bedf-b5ee4d075e5d,cargoroo,,Netherlands,,,,,,,False,
290581436,Cariqa,cariqa.com,"Berlin, Germany",,50.0,Seed,4000000.0,Anthemis Female Innovators Lab,Tamara Ciullo (Co-Founder): https://linkedin.com/in/tamara-ciullo-3a1194131,True,6.0
cc4fbb87-575a-43bb-9760-515a2770b45d,carpecarbon,,"Torino, Italy",,,,,,,False,
263113801,cartken,cartken.com,"Oakland, CA",,,,,,,False,
06c1537b-8461-438a-aa67-2ed37dc56eb5,cascade biocatalysts,https://www.cascadebiocatalysts.com/,"Brooklyn, NY",,,,,,,False,
224611591,CAST.AI,cast.ai,"Miami, Florida",,23.94,Series B,35000000.0,unnamed existing investors,Einaras V. (Co-Founder): https://linkedin.com/in/techceocalifornia,True,233.0
9f6c5edc-9819-4c1f-b10f-b5ddbe51a060,catalera biosolutions,,"Vancouver, Canada",,,,,,,False,
278627162,website,catalyxxinc.com,"Chesterfield, MO",,,,,,,False,
15b6deb0-13cd-452d-8f6c-36833acc11b1,catchfree,,"Zurich, Switzerland",,,,,,,False,
a686e192-ae09-4b4f-9976-f58f273d718b,catchwise,,"Oslo, Norway",,,,,,,False,
301378264,Category Ventures,categoryvc.com,San Francisco,,,,,,Alberto Peisach (Chief Executive Officer): https://linkedin.com/in/alberto-peisach-737796238,True,2.0
289962716,Cauldron,cauldronferm.com,"Borenore, Australia",,0.0,Other,2800000.0,Horizons Ventures,Larry Li (Co-founder and CEO): https://linkedin.com/in/larryli,True,19.0
3d96c2c9-84cc-49c4-a8a1-bf2a266edcf1,cauldron ferm,https://cauldronferm.com/,"Orange, Australia",,,,,,,False,
301831412,Causal Labs,getcausal.ai,"San Francisco, California",,,Seed,6000000.0,Kindred Ventures,,True,1.0
8a7890ff-88cc-462c-828d-38d5c7df5cec,cavela,https://www.cavela.com/,"San Francisco, Calif.",,,,,,,False,
204006828,Caveonix,caveonix.com,"Falls Church, Virginia",,-6.12,Series A,7300000.0,other early investors,"Kaus Phaltankar, CISSP (CEO and Co-Founder): https://linkedin.com/in/kaus-phaltankar-cissp-b3b3254",True,46.0
263223055,Cavnue,cavnue.com,"Washington, District of Columbia",,-19.0,,135611550.0,,Kathy Vences (Deputy Chief of Staff to the CEO and Co-Founder): https://linkedin.com/in/kathy-vences-8319439a,True,81.0
279273713,Cecil,cecil.earth,"Sydney, Australia",,-18.75,Seed,1600000.0,Global Founders Capital,Alex Logan (Co-Founder): https://linkedin.com/in/alex-logan-43617971,True,13.0
284715704,CEEZER,ceezer.earth,"Berlin, Germany",,18.6,Series A,11200000.0,HV Capital,Jan Oltmanns (Co-Founder & Chief Impact Officer): https://linkedin.com/in/jan-oltmanns-330373a3,True,51.0
290876746,Ceibo,ceibo.tech,"Santiago, Chile",,2.7,Series B,30000000.0,Pincus Green,Cristóbal Undurraga (CEO): https://linkedin.com/in/cristobalundurraga,True,76.0
8a8c35ac-ebb0-420a-828c-6817419f0c3f,celadyne,https://www.celadyne.com/,"Chicago, Ill.",,,,,,,False,
c7f0e467-d8f1-4c1b-9dad-76d2540d1301,celest science,,"Paris, France",,,,,,,False,
281147992,Celestial AI,celestial.ai,"Santa Clara, CA",,,,,,,False,
5ea91c2a-047a-4b84-93c3-c78008425725,celigo,https://www.celigo.com/,"San Mateo, California",,,,,,,False,
289545538,Celleste Bio,celleste-bio.com,"Misgav, Israel",,28.57,Seed,4500000.0,SnackFutures Ventures,Michal B. (Chief Executive Officer): https://linkedin.com/in/michal-b-11136130,True,9.0
285875682,Cellfion,cellfion.se,Sweden,,,,,,,False,
285051354,Cellink,cellinktechnologies.com,"San Carlos, California",,-1.74,Series D,250000000.0,"T. Rowe Price Associates, Inc.",Malcolm Brown (Co-founder and VP Engineering): https://linkedin.com/in/malcolm-brown-06986121,True,113.0
263065102,CellMEAT,thecellmeat.com,South Korea,,,,,,,False,
293836993,CellMine,cellmine.co.uk,"Livingston, UK",,,,,,,False,
c57f43e7-d79b-4c27-91fe-28a2f21434c9,cellqua,,"Songnam, South Korea",,,,,,,False,
5989116a-cff6-466b-a1fb-440a570a3e00,cellva ingredients,,"São Paulo, Brazil",,,,,,,False,
0284b26a-7dff-4f95-b40d-b2e00d5af255,cemvision,,"Nybro, Sweden",,,,,,,False,
161878593,Cemvita Factory Inc.,cemvitafactory.com,"Houston, TX",,,,,,,False,
d1f8e037-557b-422f-887f-7f5295f8c5da,cervest,,U.K.,,,,,,,False,
285883002,Cetogenix,cetogenix.co.nz,New Zealand,,,,,,,False,
eb86c0d7-c93f-4128-8483-bd10a935c6b1,cf pathways,,UK,,,,,,,False,
263365518,CH4 Global,ch4global.com,"Henderson, Nev.",,,,,,,False,
197497418,Chain.io,chain.io,"Philadelphia, Pennsylvania",,-13.51,Series A,11000000.0,Waybury Capital,Brian Glick (Founder / CEO): https://linkedin.com/in/briansglick,True,32.0
f08e8081-b51f-4210-8c2b-47faca541a86,chaincraft,,Netherlands,,,,,,,False,
310ac52d-3d36-40a7-b77e-f38e10c91ba8,chainguard,https://chainguard.dev/,"Kirkland, Wash.",,,,,,,False,
f0f25811-8c0e-435f-ad7b-a09db7179454,change foods,https://www.changefoods.com/,"Palo Alto, CA",,,,,,,False,
122028741,char.gy,char.gy,London,,,,,,,False,
506df315-7b5d-4fd1-bba6-4b32760d98e6,charbone hydrogen,,"Brossard, Canada",,,,,,,False,
33e7f66d-3177-47de-9a44-bba7e99ea8f5,charge amps,https://chargeamps.com/,"Solna, Sweden",,,,,,,False,
225005307,CHARGE+ZONE,chargezone.co,"Vadodara, India",,-3.54,Seed,3000000.0,Keiretsu Forum,Sameer Zumbarlal Baldota (CEO OFFICE Business Consultant & Principal Engineer): https://linkedin.com/in/sameerbaldota,True,109.0
06fc5d24-bd5a-45c8-b8f6-24602b86ed69,chargeeuropa,https://chargeeuropa.com/,"Warsaw, Poland",,,,,,,False,
292002202,ChargeLab,chargelab.co,"Toronto, Canada",,-1.39,Series A,15000000.0,Maple VC,Zak L. (CEO): https://linkedin.com/in/zaklefevre,True,71.0
ad5a6960-bd6b-4028-9c74-49bcadc9a8e1,chargenet,,"San Francisco, CA",,,,,,,False,
2178638,ChargePoint,chargepoint.com,"Campbell, California",,-12.12,Public Markets,150000000.0,Chevron,🍌 Luke Grana (Founder & CEO): https://linkedin.com/in/lukegrana,True,1436.0
262541248,ChargerHelp!,chargerhelp.com,"Los Angeles, California",,0.0,Series A,17500000.0,non sibi ventures,Kameale C. Terry (Co-Founder & CEO): https://linkedin.com/in/kamealecterry,True,53.0
133415148,Chargetrip,chargetrip.com,"Amsterdam, Netherlands",,11.9,Series A,10000000.0,Vindeggen,Gideon van Dijk (Founder and CEO): https://linkedin.com/in/gideonvd,True,47.0
aa64986c-ed2d-4bc1-a9b8-19d32d54db67,chargeup,,India,,,,,,,False,
200338323,ChargeX,chargex.de,"Munich, Germany",,-21.67,Series B,11500000.0,Energie 360°,Matthias Zimmermann (Interim CEO): https://linkedin.com/in/fit4growth,True,47.0
162556649,Charm Industrial,charmindustrial.com,"San Francisco, California",,-14.1,Series B,100000000.0,Exor Ventures,"Kevin Meissner (Co-Founder, CTO): https://linkedin.com/in/kevin-meissner-a79a5614",True,67.0
293271337,CHASM Advanced Materials,chasmadvancedmaterials.com,"Canton, MA",,,,,,,False,
90814a9c-755c-4b46-a524-79029813bda8,checkerspot,,"Berkeley, CA",,,,,,,False,
220008594,CheckSammy,checksammy.com,"Surrey, Canada",,0.0,Debt,,Zero Infinity Partners,"Sam S. (Co-founder, CEO): https://linkedin.com/in/sam-s-601b1416b",True,132.0
221231066,Cheesecake Energy,cheesecakeenergy.com,UK,,,,,,,False,
284311811,Chemix,chemix.ai,"Sunnyvale, California",,9.52,Series A,20000000.0,Porsche Ventures,"Kaixiang Lin, Ph.D. (Co-founder and CEO): https://linkedin.com/in/kaixianglin",True,23.0
c2c2e7bb-bbfe-48f6-9495-fcbf10b7d5b8,cherry street energy,https://www.cherrystreetenergy.com/,"Atlanta, GA",,,,,,,False,
285736060,Chestnut Carbon Solutions,chestnutcarbon.com,"New York, New York",,60.0,Series B,160000000.0,others,,True,16.0
224164844,Chilibeli,chilibeli.com,Indonesia,,,,,,,False,
263066682,Chilye,chilye.com,China,,,,,,,False,
17375267,Chooch AI,chooch.ai,"San Francisco, CA",,,,,,,False,
132898734,CHOOOSE,chooose.today,"Oslo, Norway",,0.0,Series A,13800000.0,Aston Kutcher’s firm,,True,70.0
6747202a-8ad3-4146-8210-260814a36a90,chopvalue,https://chopvalue.com/,"Vancouver, Canada",,,,,,,False,
224694804,ChopValue Manufacturing,chopvalue.com,"Vancouver, Canada",,,,,,,False,
806b22fd-37c7-4806-b97c-ef2a2b7a8c78,chorus.ai,,"San Francisco, CA",,,,,,,False,
286238483,Chroma,trychroma.com,"San Francisco, California",,38.46,Seed,18000000.0,Quiet Capital,Anton Troynikov (Founder): https://linkedin.com/in/antontroynikov,True,18.0
223654304,Chromologics,chromologics.com,"Søborg, Denmark",,,,,,,False,
55cbde4c-0c24-4073-a670-932bea837ed5,chronosphere,,New York,,,,,,,False,
146843828,ChrysaLabs,chrysalabs.com,"Montréal, Canada",,,,,,,False,
1e162a71-0767-403b-9497-288deda5b238,cibus capital,,"London, U.K.",,,,,,,False,
f36995fe-fa90-4558-ac4b-100df4ad0712,cimico,,"Donostia-San Sebastian, Spain",,,,,,,False,
293045261,CinSOIL,cinsoil.eu,"Berlin, Germany",,,,,,,False,
61460fa1-126a-455c-992c-0f44bce63ec9,cintoo,https://www.cintoo.com/,"Biot-Sophia Antipolis, France",,,,,,,False,
290275773,Cirba Solutions,cirbasolutions.com,"Charlotte, USA",,,,,,,False,
2164403,Circadian Technologies,circadian.com.au,"Berlin, Germany",,,,,,,False,
1568199,Circonus,circonus.com,"North Laurel, Maryland",,0.0,Series B,10000000.0,NewSpring Capital,Bob Moul (CEO): https://linkedin.com/in/bobmoul,True,14.0
845483a9-41d1-4c19-9fe3-7c7a7ab9cf35,circtec,https://www.circtec.com/,"London, U.K.",,,,,,,False,
283922670,Circu Li-ion,circuli-ion.com,"Mondercange, Luxembourg",,-9.76,Seed,8500000.0,company’s management team,Dr. Xavier Kohll (Co-founder & CTO): https://linkedin.com/in/xako,True,37.0
292783223,Circuland,circuland.co.uk,"London, United Kingdom",,100.0,,820692.0,,Anastasia Stella (Co-Founder): https://linkedin.com/in/anastasiastella,True,4.0
278518895,Circular Brain,circularbrain.io,"Jundiaí, Brazil",,,,,,,False,
286516740,Circular.co,circular.co,"San Francisco, California",,0.0,Series A,10500000.0,Maniv,"Ian Arthurs (CEO, Founder): https://linkedin.com/in/ianarthurs",True,14.0
94677378,Circularise,circularise.com,"The Hague, Netherlands",,16.67,Series A,11000000.0,4impact capital,Jordi de Vos (Founder): https://linkedin.com/in/jordirobertdevos,True,56.0
162563737,Circulate Capital,circulatecapital.com,,,10.26,,106000000.0,Dow,,True,43.0
94d61678-4649-4417-82f3-981b007cdd15,circulor,https://www.circulor.com/,London,,,,,,,False,
223993134,Circunomics,circunomics.com,"Mainz, Germany",,14.81,,33500000.0,Orlen VC,"Patrick Peter (Founder, CEO): https://linkedin.com/in/patrick-peter-digital",True,31.0
1630674,Citrine Informatics,citrine.io,"Redwood City, California",,-17.39,Series C,16000000.0,ISAI Cap Venture,Tom Frederick (Senior Advisor to CEO and Board): https://linkedin.com/in/tom-frederick-18479379,True,57.0
291689529,Citroniq,citroniq.com,Houston,,,,,,,False,
d3dc2c48-0fb6-443d-8257-43c0df67d972,civ robotics,,"San Francisco, CA",,,,,,,False,
289563439,Clairity Technology,clairitytech.com,"Los Angeles, CA",,,,,,,False,
ad8fe209-7895-4274-82c3-83a41f5bd7ed,clarity ai,,"New York, USA",,,,,,,False,
78855408,Clarity Movement,clarity.io,"Berkeley, California",,0.0,,9600000.0,SOSV’s HAX program,Hannah Laura Hagen (Co-founder): https://linkedin.com/in/hannah-laura-hagen-5544914a,True,24.0
1701366,Clarke Valve,clarkevalve.com,"North Kingstown, RI",,,,,,,False,
6750dd8b-0baf-4a23-baca-778401af5d3a,claros technologies,https://www.clarostech.com/,"St. Paul, Minn.",,,,,,,False,
84842390,Claroty,claroty.com,"New York, New York",,18.67,Other,100000000.0,SoftBank Vision Fund 2,Galina Antova (Co-Founder & Chief Business Development Officer): https://linkedin.com/in/galinaantova,True,661.0
c2249ac3-f07f-473a-9127-0f57040029fc,class8,,"Toronto, Canada",,,,,,,False,
224037044,Clean Crop Technologies,cleancroptech.com,"Northampton, MA",,,,,,,False,
a75859cc-e581-450b-a1f6-c85b965101ee,clean electric,,"Pune, India",,,,,,,False,
291077167,Clean Energy Terminals - Offshore Wind Port Developer,cleanenergyterminals.com,"Valencia, CA",,,,,,,False,
4e6c2a83-45a8-4bff-9cb6-a1f6d6354159,clean energy ventures,,Boston,,,,,,,False,
dbae4bca-a5dd-4d8a-9b8e-27ba010e897f,clean food group,,"London, England",,,,,,,False,
284102945,Clean Kitchen Club,cleankitchen.club,UK,,,,,,,False,
290548188,CleanArc Data Centers,cleanarcdatacenters.com,"Austin, Texas",,112.5,,,Townsend Group,James Trout (Founder and Chief Executive Officer): https://linkedin.com/in/james-trout-74455a15,True,17.0
105406526,CleanCapital,cleancapital.com,"New York, New York",,-2.5,Other,500000000.0,Manulife Investment Management,Kevin Johnson (Co-Founder): https://linkedin.com/in/kevinjohnson1,True,78.0
113830926,CleanChoice Energy,cleanchoiceenergy.com,"None, None",,-10.69,,100000000.0,True Green Capital Management,Richard Graves (Chief Impact Officer and Co-founder): https://linkedin.com/in/richardgraves,True,142.0
118760142,CleanFiber,cleanfiber.com,"Buffalo, NY",,,,,,,False,
284941802,CleanJoule,cleanjoule.com,"Salt Lake City, USA",,,,,,,False,
8d629df8-8113-4b2d-ac50-79414bc2ac2d,cleanlab,,"San Francisco, CA",,,,,,,False,
a1f6322a-2441-4a10-bb96-58ce4f63a97f,cleano2 carbon capture technologies,,Canada,,,,,,,False,
2535013,CleanRobotics,cleanrobotics.com,"Longmont, CO",,,,,,,False,
91c8b1a2-c5b2-490c-bed8-b9557f458d28,clear current,,"Albuquerque, NM",,,,,,,False,
72801ac3-acb1-4797-9d71-641916464c19,clear labs,,"San Carlos, CA",,,,,,,False,
375490fe-22a2-4abf-b1b9-161e32659254,clearcogs,https://clearcogs.com/,"Chicago, IL",,,,,,,False,
291725052,ClearFlame Engine Technologies,clearflame.com,"Woodridge, IL",,11.0,Series B,30000000.0,Mercuria,,True,61.0
161857842,ClearFlame Engines,clearflameengines.com,"Geneva, Illinois",,-34.78,Other,,Department of Energy’s,"Julie Blumreiter (Co-founder, CTO): https://linkedin.com/in/julieblumreiter",True,30.0
72d95e25-6af1-4ff3-8466-ea4175d28671,clearleaf,https://clearleaf.com/,"San Pedro, Costa Rica",,,,,,,False,
291158614,Clearstory,clearstory.build,"San Francisco, California",,30.43,Series B,16000000.0,Cloud Apps Capital Partners,Cameron Page (CEO & Founder): https://linkedin.com/in/cameron-page-740aa722,True,60.0
265109117,ClearTrace,cleartrace.io,"Austin, Texas",,-3.33,Other,20000000.0,Exelon,"Jessica St. John, MBA (Senior Project Manager & Culture Team Co-Founder): https://linkedin.com/in/jessica-st-john-mba",True,29.0
286038505,Clevergy,clever.gy,"Madrid, Spain",,0.0,,1500000.0,Adrian Tuck,Juan López López (Founder & CTO): https://linkedin.com/in/juan-l%C3%B3pez-l%C3%B3pez-8483bb20,True,22.0
282503878,Cleyrop,cleyrop.com,"Paris, France",,-26.53,Series A,10000000.0,Normandie Participations,Jérôme Valat (Founder & CEO): https://linkedin.com/in/jerome-valat,True,36.0
816f23d7-7431-4fc7-8d82-43945a74a67f,clim8 invest,,UK,,,,,,,False,
9dc3fdb5-5992-43f0-8dad-08c5c64b4d81,climacell,https://www.climacell.co/,"Boston, USA",,,,,,,False,
ca2bb00c-8a17-4a82-a683-6cf438743703,climate alpha,,"Singapore, Singapore",,,,,,,False,
9a5a1175-0658-4c32-8be6-80768ee6d3a3,climate change crisis real impact i acquisition,,,,,,,,,False,
0a158f5d-e946-482a-abb6-19072b517392,climate policy radar,,"London, U.K.",,,,,,,False,
3e3e8ec7-0c56-4bfa-aa3b-fcf44a2a8aa9,climate tech partners,,"Sydney, Australia",,,,,,,False,
4c394bcf-3661-45c0-beb4-6d3cbfa41616,climate vault solutions,https://www.climatevault.com/,"Seattle, WA",,,,,,,False,
f0a3c1a7-bbbc-4d28-a7e7-3a35152d2a11,climate x,,UK,,,,,,,False,
224781425,ClimateAI,climate.ai,"San Francisco, California",,-33.33,Series B,22000000.0,Neotribe's Ignite fund,Maximilian Evans (Founder): https://linkedin.com/in/maximilian-evans-1b653770,True,52.0
288176210,Climate aligned,climatealigned.co,"London, United Kingdom",,0.0,Seed,1900000.0,Climate Vc,Aleksi Tukiainen (CEO & Co-Founder): https://linkedin.com/in/aleksi-tukiainen,True,12.0
57957f2b-82e6-46cb-9488-ff05b657fbfa,climatecamp,,"Antwerpen, Belgium",,,,,,,False,
224701373,ClimateTrade,climatetrade.com,"Aventura, Florida",,-31.58,Series A,7000000.0,SIX Group,,True,26.0
220956243,ClimateView,climateview.global,"Stockholm, Sweden",,-1.75,Other,15057280.0,NordicNinja,,True,56.0
281925225,Climatiq,climatiq.io,"Berlin, Germany",,0.0,Series A,10000000.0,Alstin Capital,Isis T. Baulig (Founder @ CTO): https://linkedin.com/in/isis-t-baulig-25b31820,True,27.0
244ff27e-20e7-4311-a25a-b48c5ec60ed2,climavision,https://climavision.com/,"Louisville, KY",,,,,,,False,
27d15e1e-a92f-417e-a012-7b820a1e2365,climax foods,,"Berkeley, CA",,,,,,,False,
224484457,ClimeCo,climeco.com,"Boyertown, Pennsylvania",,5.0,Other,50000000.0,The Heritage Group,Bill Flederbach (President and CEO): https://linkedin.com/in/bill-flederbach-bb5a143,True,105.0
d20a887e-cc7a-4075-9d32-0d66e4bf77d0,climes,,India,,,,,,,False,
1687905,Climeworks,climeworks.com,"Zürich, Switzerland",,1.63,Other,75000000.0,Zurich Cantonal Bank,Christoph Gebald (CEO & Founder): https://linkedin.com/in/christoph-gebald-59806b1b7,True,500.0
279286536,Cling Systems,clingsystems.com,"Stockholm, Sweden",,-41.38,,1813050.0,,,True,17.0
158344965,Clir Renewables,clir.eco,"Vancouver, Canada",,-23.33,Other,3169289.0,BDC Venture Capital,"Andrew Brunskill (Director of Data Science, Co-founder): https://linkedin.com/in/andrew-brunskill",True,46.0
490ee9fe-f49e-4cd5-82ae-15476d80100f,clobotics wind services,,"Esbjerg, Denmark",,,,,,,False,
15941685,Clockworks Analytics,clockworksanalytics.com,"Somerville, Massachusetts",,10.13,Other,16100000.0,SE Ventures,Stephen Samouhos (Co-Founder): https://linkedin.com/in/stephen-samouhos-a5a525172,True,87.0
285881652,Cloover,cloover.se,"Stockholm, Sweden",,,,,,,True,
263260413,Cloud Agronomics,cloudagronomics.com,"Boulder, Colorado",,,Seed,6000000.0,SineWave Ventures,,True,25.0
77dff612-0364-44e1-a369-d224c818400a,cloud paper,https://cloudpaper.co/,"Seattle, WA",,,,,,,False,
1541324,Cloudflare,cloudflare.com,"San Francisco, California",,8.66,Public Markets,1250000000.0,Qualcomm Ventures,,True,4290.0
1b9a1b83-a144-4dc7-884a-6fec21223fff,cloudline,,"Cape Town, South Africa",,,,,,,False,
206257708,Cloudtamer,cloudtamer.io,"Fulton, MD",,,,,,,False,
278231405,"CloudTruth, Inc.",cloudtruth.com,"Boston, MA",,,,,,,False,
e9fe4a5c-f863-437a-b3fe-0358397f6e01,cloudzero,,"Boston, Massachusetts",,,,,,,False,
296110040,Cloverleaf Infrastructure,cloverleafinfra.com,"Houston, Texas",,900.0,,300000000.0,Sandbrook Capital,,True,20.0
224117406,Cloverly,cloverly.com,"Atlanta, Georgia",,-21.05,Seed,2100000.0,SB Opportunity Fund,Anthony Oni (CEO): https://linkedin.com/in/anthonyoni,True,30.0
292527397,Clyde Hydrogen Systems,clydehydrogen.com,"Glasgow, Scotland",,,,,,,False,
ed8f2da0-92d8-4aa9-b9d1-28f8476a23e9,cmblu,,"Alzenau, Germany",,,,,,,False,
d6abf02b-4cfb-436f-8d24-2595c5e838ac,cmc machinery,,Italy,,,,,,,False,
286509271,CNaught,cnaught.com,"San Francisco, California",,44.44,Seed,2250000.0,angel investors,Steven Siger (Cofounder and COO/CLO): https://linkedin.com/in/stevensiger,True,13.0
d633aeef-a552-4010-82e1-737411b729c4,co-power,,"Munich, Germany",,,,,,,False,
288600252,CO2 AI,co2ai.com,"Paris, France",,13.21,Seed,12000000.0,Unusual Ventures,Charlotte Degot (Founder & Global Leader): https://linkedin.com/in/charlottedegot,True,60.0
799a3646-7368-489a-8b89-7390b91fe4c9,co2 lock,,"Vancouver, Canada",,,,,,,False,
301086137,Dude Robotics,cocorobotics.com,"Santa Monica, CA",,,,,,,False,
284234570,COCOLI,cocoli.com,"Berlin, Germany",,0.0,Seed,3000000.0,Helen Zeitoun,Gemma Comabella Noguero (Co-founder & CEO): https://linkedin.com/in/gemma-comabella-noguero-5043aa4a,True,23.0
164735654,CodeGreen Solutions,codegreensolutions.com,New York,,,,,,,False,
220141373,CodeSandbox,codesandbox.io,"Amsterdam, Netherlands",,,,,,,False,
284073364,Cofactr,cofactr.com,"New York, New York",,86.67,Series A,17200000.0,Bain Capital Ventures,"Matthew Haber (CEO, Co-Founder): https://linkedin.com/in/matthew-haber-374903184",True,28.0
163291458,Cognite,cognite.com,"None, Norway",,12.08,Series C,150000000.0,TCV,Fredrik Anfinsen (Co-Founder & Director Product Development): https://linkedin.com/in/fredrik-anfinsen-6186a697,True,640.0
464f7e20-cd22-4652-8450-e60192c41199,coiled,https://coiled.io/,New York,,,,,,,False,
e8e1ab9c-3fe4-454e-aede-2662b66d2a34,coinspect,https://www.coinspect.com/,"San Francisco, CA",,,,,,,False,
c6a7076d-4a34-430f-9ea8-703a049b9cb6,collab fund,,"New York City, U.S.",,,,,,,False,
132102975,CollectiveCrunch,collectivecrunch.com,"Espoo, Finland",,,,,,,False,
296110143,Collide,collide.io,"Houston, Texas",,,Seed,5000000.0,other oil and gas leaders,,True,23.0
278479483,Colorfix,colorfix.com.br,"Norwich, U.K.",,,,,,,False,
214000332,Colorifix,colorifix.com,"Norwich, UK",,,,,,,False,
bc8e0e09-b0e4-4d41-8687-662622bc9d89,colossal biosciences,,Dallas,,,,,,,False,
120599964,Columna Capital,columnacapital.com,"London, U.K.",,,,,,,False,
661ec86e-62a7-4774-b32b-e5f76bedf2d6,comet bio,,Canada,,,,,,,False,
b06174a6-ce41-495d-bd4c-965043c6d442,common energy,https://www.commonenergy.us/,New York,,,,,,,False,
263158191,Common Heir,commonheir.com,"Los Angeles, CA",,,,,,,False,
f5692d8d-cc7d-49dd-9aaf-75be8731e858,commonwealth fusion systems,https://cfs.energy/,"Cambridge, Mass.",,,,,,,False,
161872741,Compact Membrane Systems,compactmembrane.com,"Christiana Acres, Delaware",,0.0,PPP Loan,350000.0,U.S. Small Business Administration.,Erica Nemser (CEO): https://linkedin.com/in/ericanemser,True,39.0
3f6b1db2-ee8d-49a1-84d9-4a3b06973242,compagnie maritime monegasque,,"Rio de Janeiro, Brazil",,,,,,,False,
291064907,companion.energy -,companion.energy,"Ghent, Belgium",,37.5,,2100000.0,Übermorgen Ventures,,True,11.0
289440636,Complete Solaria,completesolaria.com,"Fremont, CA",,,,,,,False,
283343962,Compound Foods,compound-foods.com,"San Francisco, CA",,,,,,,False,
0dc7e3ef-ee36-4239-ab30-c1eb647e6dd3,concert bio,,UK,,,,,,,False,
224061650,Concourse Labs,concourselabs.com,"New York, NY",,,,,,,False,
284427486,Concrete4Change,concrete4change.com,"Nottingham, U.K.",,,,,,,False,
0e897c27-2e77-4941-99f8-1c6a40b01c4a,concretene,,"Manchester, UK",,,,,,,False,
264980282,Condoit.io,condoit.io,"Birmingham, Alabama",,-28.57,Seed,4250000.0,Overline,Ian Hoppe (Chief Executive Officer): https://linkedin.com/in/ian-hoppe-a619aa1a,True,10.0
79713012,Conflux Technology,confluxtechnology.com,"Waurn Ponds, Australia",,,,,,,False,
c666b847-7017-464f-a97b-c8412b24388f,congruent ventures,,"San Francisco, CA",,,,,,,False,
